검증 항목,기대값,실제값,결과,비고
최종 패널 행 수,"4,536","4,536",PASS,
지표 ID 수,28,28,PASS,
지역 수,18,18,PASS,
연도,2016–2024,2016–2024,PASS,
지역×연도×지표 중복 키,0,0,PASS,
매니페스트 대비 지표 누락·초과,0,0,PASS,
허용되지 않은 지역·연도,0,0,PASS,
단위 결측,"0/4,536","0/4,536",PASS,
출처 결측,"0/4,536","0/4,536",PASS,
입력 숫자 관측값 변경,0,0,PASS,"rtol=0, atol=1e-12; 반올림·원본값 변경 없음; 최대 절대차=2.84217e-14"
원본 존재 조합,"4,140","4,140",PASS,
완전 격자 신규 조합,396,396,PASS,
기존 21개 지표×지역 기대 조합,378,378,PASS,
기존 21개 지표×지역 실제 조합,377,377,PASS,
기존 21개 지표×지역 허용 누락,work_hours×전국,work_hours×전국,PASS,
기존 21개 지표×지역 초과,0,0,PASS,
기존 21개 지표×지역 중복,0,0,PASS,
신규 격자: 가족실태조사 3개 지표 비조사연도,378,378,PASS,
신규 격자: 청년층 정규직 근로자 비율 전국 미산출,9,9,PASS,
신규 격자: 근로시간 전국 원자료 미공표,9,9,PASS,
신규 격자 범주 간 중복,0,0,PASS,
신규 격자 범주 합집합,396,396,PASS,
신규 격자 예상 외 추가,0,0,PASS,
신규 격자 기대 누락,0,0,PASS,
숫자 관측,"3,266","3,266",PASS,
원본 셀 결측,874,874,PASS,
최종 미관측,"1,270","1,270",PASS,
관측+미관측,"3,266+1,270=4,536","3,266+1,270=4,536",PASS,
raw_sources 원본 항목,53,53,PASS,
comparison_series 제외,1,1,PASS,
최종 출처 구성요소,52,52,PASS,
출처가 비는 지표,0,0,PASS,
누락된 입력 관측값,0,0,PASS,
추가 생성된 숫자 관측값,0,0,PASS,
